timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730490883120,1347,HTTP Request,200,OK,Thread Group 1-1,text,false,Test failed: code expected to contain /200 /,38013,772,2,2,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,137,0,84
1730490883120,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,207,154,2,2,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,137,0,84
1730490883263,494,HTTP Request-1,302,Found,Thread Group 1-1,text,true,,1583,154,2,2,https://en.wikipedia.org/w/index.php?title=Special:UserLogin,494,0,294
1730490883758,299,HTTP Request-2,302,Found,Thread Group 1-1,text,true,,1344,241,2,2,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=1d40bbb7550eaad0a928a016142cab21&wikiid=enwiki,299,0,110
1730490884057,410,HTTP Request-3,200,OK,Thread Group 1-1,text,true,,34879,223,2,2,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,373,0,0
1730490884028,1178,HTTP Request,200,OK,Thread Group 1-2,text,false,Test failed: code expected to contain /200 /,38013,772,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,88,0,44
1730490884028,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,207,154,3,3,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,88,0,44
1730490884116,410,HTTP Request-1,302,Found,Thread Group 1-2,text,true,,1583,154,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin,410,0,100
1730490884526,287,HTTP Request-2,302,Found,Thread Group 1-2,text,true,,1344,241,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=afdd8f376c1bf61d2d2c439b8c4e69e3&wikiid=enwiki,287,0,99
1730490884813,393,HTTP Request-3,200,OK,Thread Group 1-2,text,true,,34879,223,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,355,0,0
1730490884511,990,HTTP Request,200,OK,Thread Group 1-1,text,false,Test failed: code expected to contain /200 /,38013,772,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,88,0,43
1730490884511,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,207,154,3,3,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,88,0,43
1730490884599,312,HTTP Request-1,302,Found,Thread Group 1-1,text,true,,1583,154,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin,312,0,0
1730490884912,188,HTTP Request-2,302,Found,Thread Group 1-1,text,true,,1344,241,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=5d9ee8daa8f58053dbe2d048f693beea&wikiid=enwiki,188,0,0
1730490885100,401,HTTP Request-3,200,OK,Thread Group 1-1,text,true,,34879,223,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,390,0,0
1730490885510,439,HTTP Request,429,Too many requests,Thread Group 1-1,text,false,Test failed: code expected to contain /200 /,4443,549,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=0cb332e346d984fb414d73b27cd8bb7a&wikiid=enwiki,87,0,43
1730490885510,87,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,207,154,3,3,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,87,0,43
1730490885598,305,HTTP Request-1,302,Found,Thread Group 1-1,text,true,,1583,154,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin,305,0,0
1730490885903,46,HTTP Request-2,429,Too many requests,Thread Group 1-1,text,false,,2653,241,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=0cb332e346d984fb414d73b27cd8bb7a&wikiid=enwiki,46,0,0
1730490885028,1087,HTTP Request,200,OK,Thread Group 1-3,text,false,Test failed: code expected to contain /200 /,38015,772,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,92,0,46
1730490885028,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,207,154,3,3,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,92,0,46
1730490885121,320,HTTP Request-1,302,Found,Thread Group 1-3,text,true,,1583,154,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin,320,0,100
1730490885442,285,HTTP Request-2,302,Found,Thread Group 1-3,text,true,,1346,241,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=6fb48da4f4d5978a8dba038734474da6&wikiid=enwiki,285,0,100
1730490885728,387,HTTP Request-3,200,OK,Thread Group 1-3,text,true,,34879,223,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,347,0,0
1730490885224,944,HTTP Request,200,OK,Thread Group 1-2,text,false,Test failed: code expected to contain /200 /,38013,772,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,91,0,45
1730490885224,91,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,207,154,3,3,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,91,0,45
1730490885316,305,HTTP Request-1,302,Found,Thread Group 1-2,text,true,,1583,154,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin,305,0,0
1730490885622,187,HTTP Request-2,302,Found,Thread Group 1-2,text,true,,1344,241,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=4d093be712871b91e1dfb9e714a90958&wikiid=enwiki,187,0,0
1730490885809,359,HTTP Request-3,200,OK,Thread Group 1-2,text,true,,34879,223,3,3,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,347,0,0
1730490886173,333,HTTP Request,429,Too many requests,Thread Group 1-2,text,false,Test failed: code expected to contain /200 /,4443,549,3,3,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=9acefffbe054b4c7c0f76c6b5fc24457&wikiid=enwiki,87,0,43
1730490886173,87,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,207,154,3,3,http://en.wikipedia.org/w/index.php?title=Special:UserLogin,87,0,43
